[29-Jan-2012 10:23:03] Invalid HTTP request method.
[28-Feb-2012 08:34:00] Invalid HTTP request method.
[11-Apr-2012 02:29:44] Invalid HTTP request method.
[27-Apr-2012 03:55:08 UTC] Invalid HTTP request method.
[09-May-2012 14:51:45 UTC] Invalid HTTP request method.
[01-Aug-2012 03:51:32 UTC] Invalid HTTP request method.
[06-Aug-2012 13:48:49 UTC] Invalid HTTP request method.
[12-Aug-2012 13:41:11 UTC] Invalid HTTP request method.
[15-Sep-2012 11:19:53 UTC] Invalid HTTP request method.
[02-Oct-2012 21:15:56 UTC] Invalid HTTP request method.
[18-Oct-2012 04:15:11 UTC] Invalid HTTP request method.
[23-Oct-2012 18:33:00 UTC] Invalid HTTP request method.
[25-Oct-2012 15:35:00 UTC] Invalid HTTP request method.
[05-Nov-2012 04:24:40 UTC] Invalid HTTP request method.
[09-Nov-2012 01:30:07 UTC] Invalid HTTP request method.
[16-Nov-2012 04:15:40 UTC] Invalid HTTP request method.
[08-Dec-2012 01:07:09 UTC] Invalid HTTP request method.
[24-Dec-2012 18:09:34 UTC] Invalid HTTP request method.
[24-Dec-2012 22:54:12 UTC] Invalid HTTP request method.
[26-Dec-2012 16:52:13 UTC] Invalid HTTP request method.
[27-Dec-2012 11:06:41 UTC] Invalid HTTP request method.
[11-Jan-2013 00:22:01 UTC] Invalid HTTP request method.
[01-Feb-2013 00:47:26 UTC] Invalid HTTP request method.
[15-Mar-2013 15:13:34 UTC] Invalid HTTP request method.
[01-Apr-2013 13:07:17 UTC] Invalid HTTP request method.
[07-May-2013 13:23:35 UTC] Invalid HTTP request method.
[22-May-2013 15:40:13 UTC] Invalid HTTP request method.
[13-Jun-2013 18:39:22 UTC] Invalid HTTP request method.
[13-Jun-2013 23:36:09 UTC] Invalid HTTP request method.
[09-Jul-2013 03:16:06 UTC] Invalid HTTP request method.
[01-Aug-2013 05:59:19 UTC] Invalid HTTP request method.
[11-Aug-2013 15:00:59 America/Los_Angeles] Invalid HTTP request method.
